Country,Region,Happiness_Rank,Happiness_Score,Economy_GDP,Family,Life_Expectancy,Freedom,Trust_in_Gov,Generosity,Dystopia_Residual,Year
Senegal,Sub-Saharan Africa,,4.980800152,8.118982315,0.723616004,59.59915161,0.690596163,0.808785141,-0.052335154,2.405123949,2020
Guinea,Sub-Saharan Africa,,4.949299812,7.750990391,0.637573481,54.46780014,0.706846774,0.761794448,0.076328471,2.740729809,2020
Niger,Sub-Saharan Africa,,4.909599781,6.842166901,0.617435038,53.50009537,0.759772122,0.722530186,0.013860817,3.017630577,2020
Laos,Southeast Asia,,4.888599873,8.79858017,0.737502217,58.70992279,0.907213569,0.634679317,0.11137148,1.621152639,2020
Albania,Central and Eastern Europe,,4.882699966,9.417930603,0.671070457,68.70813751,0.781994224,0.896303713,-0.042309489,1.640897036,2020
Cambodia,Southeast Asia,,4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.822769046,0.051911179,1.663300037,2020
Bangladesh,South Asia,,4.832799911,8.287063599,0.687292993,64.50306702,0.90062499,0.661843538,-0.033664726,1.755261898,2020
Gabon,Sub-Saharan Africa,,4.829299927,9.680537224,0.787886858,59.71533966,0.704829216,0.849150956,-0.222261623,1.735027552,2020
South Africa,Sub-Saharan Africa,,4.814099789,9.403370857,0.852532268,56.50601196,0.759330094,0.843423843,-0.109777324,1.625117302,2020
Iraq,Middle East and North Africa,,4.784800053,9.661095619,0.747694969,59.90354919,0.633182645,0.82226181,-0.06956476,1.752173662,2020
Lebanon,Middle East and North Africa,,4.771500111,9.3617239,0.824338138,67.10658264,0.551357508,0.90225625,-0.06121527,1.53554225,2020
Burkina Faso,Sub-Saharan Africa,,4.768700123,7.46854496,0.712943614,53.88945389,0.665563583,0.739795029,-0.019080516,2.588826418,2020
Gambia,Sub-Saharan Africa,,4.750599861,7.321814537,0.6931687,55.0120163,0.733163178,0.690717816,0.343198717,2.270216465,2020
Mali,Sub-Saharan Africa,,4.729300022,7.629852295,0.731468976,51.72698212,0.71156615,0.839328408,-0.044366926,2.559335232,2020
Nigeria,Sub-Saharan Africa,,4.724100113,8.57662487,0.73721689,49.86190796,0.759578407,0.861874342,0.033745807,2.219635487,2020
Armenia,Commonwealth of Independent States,,4.676799774,9.100476265,0.757479429,66.75065613,0.712017834,0.773544788,-0.13877961,1.468161583,2020
Georgia,Commonwealth of Independent States,,4.672599792,9.226100922,0.629033029,64.49520874,0.801641524,0.665944695,-0.22892037,1.69239831,2020
Iran,Middle East and North Africa,,4.672399998,9.813719749,0.694689691,66.00614929,0.647873282,0.714635968,0.117891103,1.286969423,2020
Jordan,Middle East and North Africa,,4.633399963,9.025999069,0.80216372,66.79975128,0.75104779,0.700344324,-0.162565202,1.262258053,2020
Mozambique,Sub-Saharan Africa,,4.623600006,7.069345951,0.723874032,54.20582199,0.864451885,0.683019102,0.032375868,2.221216202,2020
Kenya,Sub-Saharan Africa,,4.583000183,8.02977562,0.702652037,60.09693146,0.829747558,0.831499159,0.294681519,1.684904575,2020
Namibia,Sub-Saharan Africa,,4.571100235,9.203141212,0.846880972,56.50148773,0.767520964,0.851449788,-0.18530646,1.503033161,2020
Ukraine,Commonwealth of Independent States,,4.56069994,9.010690689,0.878879368,64.60678101,0.663081884,0.920636714,-0.030933706,1.252669334,2020
Liberia,Sub-Saharan Africa,,4.557899952,7.054380417,0.70928055,56.09631348,0.735268712,0.856375933,0.04227322,2.386757851,2020
Palestinian Territories,Middle East and North Africa,,4.552800179,8.389223099,0.825295925,62.25,0.645791829,0.824199975,-0.162079096,1.693985701,2020
Uganda,Sub-Saharan Africa,,4.43200016,7.500389576,0.764994621,55.70820236,0.731713951,0.836737812,0.099487431,1.958671093,2020
Chad,Sub-Saharan Africa,,4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.802760839,0.017834719,2.74742651,2020
Tunisia,Middle East and North Africa,,4.392199993,9.314972878,0.688718557,66.89785767,0.593361557,0.867590249,-0.216413811,1.528496742,2020
Mauritania,Sub-Saharan Africa,,4.374599934,8.233919144,0.790819228,57.01017761,0.551522553,0.746223509,-0.106008142,1.85955739,2020
Sri Lanka,South Asia,,4.327000141,9.389969826,0.825374067,67.20006561,0.837633669,0.859001756,0.081129618,0.611288548,2020
Congo (Kinshasa),Sub-Saharan Africa,,4.31099987,6.694256306,0.672159016,52.90000153,0.700793564,0.809403598,0.083637655,2.437864304,2020
Swaziland,Sub-Saharan Africa,,4.308100224,9.16267395,0.770290196,51.18823624,0.646822274,0.708263338,-0.19920142,1.686207294,2020
Myanmar,Southeast Asia,,4.308000088,8.680481911,0.78440702,58.96171188,0.895075202,0.645124316,0.560663998,0.681462526,2020
Comoros,Sub-Saharan Africa,,4.288599968,7.833630085,0.625662446,57.34901047,0.547612607,0.780622602,0.090008408,2.17276907,2020
Togo,Sub-Saharan Africa,,4.187200069,7.357711315,0.551312625,54.71989822,0.649828613,0.757733464,0.002667875,2.409595251,2020
Ethiopia,Sub-Saharan Africa,,4.186200142,7.509385586,0.743307352,58.63959122,0.740795195,0.753690004,0.043377332,1.628459215,2020
Madagascar,Sub-Saharan Africa,,4.165599823,7.281685829,0.668195903,59.10542679,0.557574093,0.817485631,-0.011823639,2.136298418,2020
Egypt,Middle East and North Africa,,4.151400089,9.316541672,0.735447824,61.78015137,0.708354175,0.787726879,-0.196878314,1.158818245,2020
Sierra Leone,Sub-Saharan Africa,,3.926399946,7.26880312,0.636142015,50.86514282,0.715315044,0.861330688,0.088660747,2.046271801,2020
Burundi,Sub-Saharan Africa,,3.775300026,6.492642403,0.490325719,53.40000153,0.626350224,0.606934547,-0.017551597,2.401507378,2020
Zambia,Sub-Saharan Africa,,3.759399891,8.224720001,0.698824465,55.29937744,0.806500256,0.801289678,0.078037128,1.134339333,2020
Haiti,Latin America and Caribbean,,3.720799923,7.411329269,0.593247831,55.59862518,0.537825167,0.684767246,0.40053457,1.619916916,2020
Lesotho,Sub-Saharan Africa,,3.652800083,7.960488319,0.780495703,48.00362396,0.738125861,0.857392073,-0.145732045,1.445513964,2020
India,South Asia,,3.573299885,8.849823952,0.592200935,60.21518707,0.881444871,0.772042692,0.057551607,0.734130859,2020
Malawi,Sub-Saharan Africa,,3.538000107,7.062226295,0.544007301,57.59288788,0.803223193,0.731700778,0.021433279,1.552718282,2020
Yemen,Middle East and North Africa,,3.527400017,7.759682655,0.817980587,56.72728348,0.599920273,0.800287724,-0.157735437,1.116472721,2020
Botswana,Sub-Saharan Africa,,3.478899956,9.711203575,0.779121757,58.92445374,0.821328104,0.777930915,-0.250394493,0.257240534,2020
Tanzania,Sub-Saharan Africa,,3.476200104,7.967665195,0.688933194,57.49607468,0.82153976,0.619799435,0.109668687,0.718963385,2020
Central African Republic,Sub-Saharan Africa,,3.475899935,6.625160217,0.319459856,45.20000076,0.640880644,0.891806662,0.082410358,2.860197544,2020
Rwanda,Sub-Saharan Africa,,3.312299967,7.600104332,0.54083544,61.09884644,0.900589406,0.183541179,0.055483952,0.548444986,2020
Zimbabwe,Sub-Saharan Africa,,3.299200058,7.865711689,0.763092756,55.61725998,0.711457908,0.81023699,-0.072063953,0.841031075,2020
South Sudan,Sub-Saharan Africa,,2.816600084,7.425359726,0.553707123,51.0,0.451313615,0.763417304,0.016518548,1.378751278,2020
Afghanistan,South Asia,,2.566900015,7.462860584,0.470366955,52.59000015,0.396573007,0.933686554,-0.0964294,1.507235646,2020
Finland,Western Europe,0.0,7.842,10.775,0.954,72.0,0.949,0.186,-0.098,3.253,2021
Denmark,Western Europe,1.0,7.62,10.933,0.954,72.7,0.946,0.179,0.03,2.868,2021
Switzerland,Western Europe,2.0,7.571,11.117,0.942,74.4,0.919,0.292,0.025,2.839,2021
Iceland,Western Europe,3.0,7.554,10.878,0.983,73.0,0.955,0.673,0.16,2.967,2021
Netherlands,Western Europe,4.0,7.464,10.932,0.942,72.4,0.913,0.338,0.175,2.798,2021
Norway,Western Europe,5.0,7.392,11.053,0.954,73.3,0.96,0.27,0.093,2.58,2021
Sweden,Western Europe,6.0,7.363,10.867,0.934,72.7,0.945,0.237,0.086,2.683,2021
Luxembourg,Western Europe,7.0,7.324,11.647,0.908,72.6,0.907,0.386,-0.034,2.653,2021
New Zealand,North America and ANZ,8.0,7.277,10.643,0.948,73.4,0.929,0.242,0.134,2.612,2021
Austria,Western Europe,9.0,7.268,10.906,0.934,73.3,0.908,0.481,0.042,2.784,2021
Australia,North America and ANZ,10.0,7.183,10.796,0.94,73.9,0.914,0.442,0.159,2.598,2021
Israel,Middle East and North Africa,11.0,7.157,10.575,0.939,73.503,0.8,0.753,0.031,3.083,2021
Germany,Western Europe,12.0,7.155,10.873,0.903,72.5,0.875,0.46,0.011,2.824,2021
Canada,North America and ANZ,13.0,7.103,10.776,0.926,73.8,0.915,0.415,0.089,2.585,2021
Ireland,Western Europe,14.0,7.085,11.342,0.947,72.4,0.879,0.363,0.077,2.384,2021
Costa Rica,Latin America and Caribbean,15.0,7.069,9.88,0.891,71.4,0.934,0.809,-0.126,3.387,2021
United Kingdom,Western Europe,16.0,7.064,10.707,0.934,72.5,0.859,0.459,0.233,2.596,2021
Czech Republic,Central and Eastern Europe,17.0,6.965,10.556,0.947,70.807,0.858,0.868,-0.208,3.124,2021
United States,North America and ANZ,18.0,6.951,11.023,0.92,68.2,0.837,0.698,0.098,2.807,2021
Belgium,Western Europe,19.0,6.834,10.823,0.906,72.199,0.783,0.646,-0.153,2.862,2021
France,Western Europe,20.0,6.69,10.704,0.942,74.0,0.822,0.571,-0.147,2.521,2021
Bahrain,Middle East and North Africa,21.0,6.647,10.669,0.862,69.495,0.925,0.722,0.089,2.631,2021
Malta,Western Europe,22.0,6.602,10.674,0.931,72.2,0.927,0.653,0.133,2.268,2021
Taiwan Province of China,East Asia,23.0,6.584,10.871,0.898,69.6,0.784,0.721,-0.07,2.687,2021
United Arab Emirates,Middle East and North Africa,24.0,6.561,11.085,0.844,67.333,0.932,0.589,0.074,2.422,2021
Saudi Arabia,Middle East and North Africa,25.0,6.494,10.743,0.891,66.603,0.877,0.684,-0.149,2.668,2021
Spain,Western Europe,26.0,6.491,10.571,0.932,74.7,0.761,0.745,-0.081,2.513,2021
Italy,Western Europe,27.0,6.483,10.623,0.88,73.8,0.693,0.866,-0.084,2.794,2021
Slovenia,Central and Eastern Europe,28.0,6.461,10.529,0.948,71.4,0.949,0.806,-0.101,2.388,2021
Guatemala,Latin America and Caribbean,29.0,6.435,9.053,0.813,64.958,0.906,0.775,-0.038,3.375,2021
Uruguay,Latin America and Caribbean,30.0,6.431,9.966,0.925,69.1,0.896,0.59,-0.092,2.6,2021
Singapore,Southeast Asia,31.0,6.377,11.488,0.915,76.953,0.927,0.082,-0.018,1.379,2021
Kosovo,Central and Eastern Europe,32.0,6.372,9.318,0.821,63.813,0.869,0.917,0.257,3.182,2021
Slovakia,Central and Eastern Europe,33.0,6.331,10.369,0.936,69.201,0.766,0.911,-0.124,2.714,2021
Brazil,Latin America and Caribbean,34.0,6.33,9.577,0.882,66.601,0.804,0.756,-0.071,3.015,2021
Mexico,Latin America and Caribbean,35.0,6.317,9.859,0.831,68.597,0.862,0.799,-0.147,2.961,2021
Jamaica,Latin America and Caribbean,36.0,6.309,9.186,0.877,67.5,0.89,0.884,-0.137,3.135,2021
Lithuania,Central and Eastern Europe,37.0,6.255,10.499,0.935,67.906,0.773,0.826,-0.203,2.624,2021
Cyprus,Western Europe,38.0,6.223,10.576,0.802,73.898,0.763,0.844,-0.015,2.578,2021
Estonia,Central and Eastern Europe,39.0,6.189,10.481,0.941,68.8,0.909,0.527,-0.106,2.103,2021
Panama,Latin America and Caribbean,40.0,6.18,10.35,0.896,69.652,0.872,0.856,-0.166,2.509,2021
Uzbekistan,Commonwealth of Independent States,41.0,6.179,8.836,0.918,65.255,0.97,0.515,0.311,2.477,2021
Chile,Latin America and Caribbean,42.0,6.172,10.071,0.882,70.0,0.742,0.83,-0.044,2.682,2021
Poland,Central and Eastern Europe,43.0,6.166,10.382,0.898,69.702,0.841,0.735,-0.165,2.438,2021
Kazakhstan,Commonwealth of Independent States,44.0,6.152,10.155,0.952,65.2,0.853,0.733,-0.069,2.446,2021
Romania,Central and Eastern Europe,45.0,6.14,10.284,0.832,67.355,0.845,0.938,-0.219,2.83,2021
Kuwait,Middle East and North Africa,46.0,6.106,10.817,0.843,66.9,0.867,0.736,-0.104,2.368,2021
Serbia,Central and Eastern Europe,47.0,6.078,9.787,0.873,68.6,0.778,0.835,0.002,2.682,2021
El Salvador,Latin America and Caribbean,48.0,6.061,9.054,0.762,66.402,0.888,0.688,-0.11,3.085,2021
Mauritius,Sub-Saharan Africa,49.0,6.049,10.008,0.905,66.701,0.867,0.789,-0.054,2.462,2021
Latvia,Central and Eastern Europe,50.0,6.032,10.315,0.927,67.1,0.715,0.8,-0.162,2.536,2021
Colombia,Latin America and Caribbean,51.0,6.012,9.557,0.847,68.001,0.837,0.841,-0.135,2.794,2021
Hungary,Central and Eastern Europe,52.0,5.992,10.358,0.943,68.0,0.755,0.876,-0.186,2.432,2021
Thailand,Southeast Asia,53.0,5.985,9.805,0.888,67.401,0.884,0.895,0.287,2.309,2021
Nicaragua,Latin America and Caribbean,54.0,5.972,8.62,0.864,67.657,0.836,0.664,0.02,2.841,2021
Japan,East Asia,55.0,5.94,10.611,0.884,75.1,0.796,0.638,-0.258,2.048,2021
Argentina,Latin America and Caribbean,56.0,5.929,9.962,0.898,69.0,0.828,0.834,-0.182,2.461,2021
Portugal,Western Europe,57.0,5.929,10.421,0.879,72.6,0.892,0.887,-0.244,2.225,2021
Honduras,Latin America and Caribbean,58.0,5.919,8.648,0.812,67.3,0.857,0.809,0.081,2.934,2021
Croatia,Central and Eastern Europe,59.0,5.882,10.217,0.924,70.799,0.754,0.939,-0.118,2.325,2021
Philippines,Southeast Asia,60.0,5.88,9.076,0.83,62.0,0.917,0.742,-0.097,2.872,2021
South Korea,East Asia,61.0,5.845,10.651,0.799,73.9,0.672,0.727,-0.083,2.262,2021
Peru,Latin America and Caribbean,62.0,5.84,9.458,0.832,68.25,0.822,0.891,-0.154,2.744,2021
